번호	날짜	휴일명
244	1968-10-03	개천절
245	1968-10-06	추석
246	1968-10-09	한글날
247	1968-10-24	국제연합일
248	1968-12-25	성탄절
249	1969-01-01	신정
250	1969-01-02	신정
251	1969-01-03	신정
252	1969-03-01	3·1절
253	1969-04-05	식목일
254	1969-06-06	현충일
255	1969-07-17	제헌절
256	1969-08-15	광복절
257	1969-09-26	추석
258	1969-10-03	개천절
259	1969-10-09	한글날
260	1969-10-24	국제연합일
261	1969-12-25	성탄절
262	1970-01-01	신정
263	1970-01-02	신정
264	1970-01-03	신정
265	1970-03-01	3·1절
266	1970-06-06	현충일
267	1970-07-17	제헌절
268	1970-08-15	광복절
269	1970-09-15	추석
270	1970-10-03	개천절
271	1970-10-09	한글날
272	1970-10-24	국제연합일
273	1970-12-25	성탄절
274	1971-01-01	신정
275	1971-01-02	신정
276	1971-01-03	신정
277	1971-03-01	3·1절
278	1971-04-05	식목일
279	1971-06-06	현충일
280	1971-07-17	제헌절
281	1971-08-15	광복절
282	1971-10-03	추석/개천절
283	1971-10-09	한글날
284	1971-10-24	국제연합일
285	1971-12-25	성탄절
286	1972-01-01	신정
287	1972-01-02	신정
288	1972-01-03	신정
289	1972-03-01	3·1절
290	1972-04-05	식목일
291	1972-06-06	현충일
292	1972-07-17	제헌절
293	1972-08-15	광복절
294	1972-09-22	추석
295	1972-10-03	개천절
296	1972-10-09	한글날
297	1972-10-24	국제연합일
298	1972-12-25	성탄절
299	1973-01-01	신정
300	1973-01-02	신정
301	1973-01-03	신정
302	1973-03-01	3·1절
303	1973-04-05	식목일
304	1973-06-06	현충일
305	1973-07-17	제헌절
306	1973-08-15	광복절
307	1973-09-11	추석
308	1973-10-03	개천절
309	1973-10-09	한글날
310	1973-10-24	국제연합일
311	1973-12-25	성탄절
312	1974-01-01	신정
313	1974-01-02	신정
314	1974-01-03	신정
315	1974-03-01	3·1절
316	1974-04-05	식목일
317	1974-06-06	현충일
318	1974-07-17	제헌절
319	1974-08-15	광복절
320	1974-09-30	추석
321	1974-10-03	개천절
322	1974-10-09	한글날
323	1974-10-24	국제연합일
324	1974-12-25	성탄절
325	1975-01-01	신정
326	1975-01-02	신정
327	1975-01-03	신정
328	1975-03-01	3·1절
329	1975-04-05	식목일
